Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X)
2022/11/8,507,spell,27213,2531,0,3.03030303,20.2020202,33.33333333,27.27272727,14.14141414,2.02020202
2022/11/9,508,rainy,28984,2678,1.01010101,5.050505051,24.24242424,36.36363636,23.23232323,9.090909091,1.01010101
2022/11/10,509,unite,27467,2575,1,4,29,42,18,5,1
2022/11/11,510,medal,25993,2438,0,6,24,35,24,10,1
2022/11/12,511,valet,24660,2356,1,11,22,25,21,15,5
2022/11/13,512,inane,25085,2515,0,3,19,40,28,9,1
2022/11/14,513,maple,26536,2467,0,4.04040404,20.2020202,35.35353535,27.27272727,11.11111111,2.02020202
2022/11/15,514,snarl,27475,2650,1,8,30,36,18,6,1
2022/11/16,515,baker,25576,2541,0,2.02020202,10.1010101,19.19191919,19.19191919,23.23232323,26.26262626
2022/11/17,516,there,27465,2530,0,5,20,34,27,12,2
2022/11/18,517,glyph,29208,2899,0,1.98019802,10.89108911,29.7029703,32.67326733,20.79207921,3.96039604
2022/11/19,518,avert,24749,2400,1.98019802,18.81188119,38.61386139,27.72277228,9.900990099,2.97029703,0
2022/11/20,519,brave,24991,2396,1,6,25,34,23,10,1
2022/11/21,520,axiom,24288,2382,0,7,27,34,22,9,1
2022/11/22,521,prime,27437,2534,0,3,13,29,32,19,4
2022/11/23,522,drive,26663,2451,1,13,32,31,16,6,1
2022/11/24,523,feast,27705,2725,0,6.060606061,26.26262626,36.36363636,22.22222222,8.080808081,1.01010101
2022/11/25,524,itchy,24197,2329,0,2,12,27,30,22,7
2022/11/27,526,happy,25206,2356,0,2.02020202,10.1010101,25.25252525,35.35353535,23.23232323,4.04040404
2022/11/28,527,tepid,26051,2484,0,1.01010101,9.090909091,26.26262626,37.37373737,23.23232323,3.03030303
2022/11/29,528,undue,23739,2316,1,10,23,29,24,11,2
2022/11/30,529,study,25569,2405,1,8,24,33,23,10,1
2022/12/1,530,eject,22628,2200,6.060606061,26.26262626,32.32323232,22.22222222,10.1010101,3.03030303,0
2022/12/2,531,chafe,24646,2343,0,3,16,26,24,19,12
2022/12/3,532,torso,23873,2260,0,4.04040404,20.2020202,35.35353535,26.26262626,12.12121212,2.02020202
2022/12/4,533,adore,25577,2398,0,2.97029703,24.75247525,38.61386139,23.76237624,8.910891089,0.99009901
2022/12/5,534,woken,23153,2200,0,2,10,30,34,20,4
2022/12/6,535,amber,23509,2261,0.99009901,13.86138614,31.68316832,29.7029703,16.83168317,5.940594059,0.99009901
2022/12/7,536,joust,24899,2388,0,2.02020202,16.16161616,38.38383838,29.29292929,12.12121212,2.02020202
2022/12/8,537,infer,21199,1863,0,9.183673469,26.53061224,32.65306122,21.42857143,9.183673469,1.020408163
2022/12/9,538,braid,23640,2165,0,1.98019802,15.84158416,36.63366337,30.69306931,12.87128713,1.98019802
2022/12/10,539,knock,21157,2041,0,6,33,38,17,5,1
2022/12/11,540,naive,21947,2075,0.980392157,9.803921569,30.39215686,33.33333333,17.64705882,6.862745098,0.980392157
2022/12/12,541,apply,22873,2150,0,4,16,29,29,18,4
2022/12/13,542,spoke,24101,2224,0,2.02020202,14.14141414,32.32323232,33.33333333,16.16161616,2.02020202
2022/12/14,543,usual,20824,2048,0,4,22,37,26,10,1
2022/12/15,544,rival,22176,2127,0,8,34,35,17,5,1
2022/12/16,545,probe,22853,2160,0,4,19,33,27,14,3
2022/12/17,546,chord,22336,2088,1,4,17,28,26,18,6
2022/12/18,547,taper,22166,2108,0.99009901,8.910891089,27.72277228,33.66336634,19.8019802,7.920792079,0.99009901
2022/12/19,548,slate,26010,2422,1,7,26,36,21,8,1
2022/12/20,549,third,24137,2261,0,5,25,37,22,9,2
2022/12/21,550,lunar,22180,2036,0,5,26,35,24,9,1
2022/12/22,551,excel,20490,2034,0,2.02020202,9.090909091,25.25252525,33.33333333,24.24242424,6.060606061
2022/12/23,552,aorta,21937,2112,0,7.070707071,28.28282828,34.34343434,21.21212121,8.080808081,1.01010101
2022/12/24,553,poise,20281,1911,0,7.920792079,35.64356436,32.67326733,16.83168317,5.940594059,0.99009901
2022/12/25,554,extra,15554,1562,0,4.04040404,27.27272727,38.38383838,22.22222222,7.070707071,1.01010101
2022/12/26,555,judge,20011,2043,0,6,17,33,29,13,2
2022/12/27,556,condo,20879,2012,0,6,28,36,21,8,1
2022/12/28,557,impel,20160,1937,0,6,27,34,21,10,2
2022/12/29,558,havoc,20001,1919,0,5,21,32,25,14,3
2022/12/30,559,molar,21204,1973,0,2,16,37,30,13,2
2022/12/31,560,manly,20380,1899,1,13,38,32,13,3,0
